,PCA1,PCA2,PCA3,PCA4,UMAP1,UMAP2
batch10/KL_200518_M436_071.mzML,2.644775,0.94022125,-1.135129,-1.4280998,-4.221523,7.4350405
F088_210524_M462_219.mzML,-0.19434525,1.1879437,-0.31634325,-2.0261867,-5.3050456,3.0313764
YW_200302_M431_011.mzML,2.500797,0.42070654,2.3603053,-1.1842808,4.570154,17.24939
B8_WU350-332_d0_polar_pos.mzML,-0.8015205,0.4615192,-0.82781637,1.0038545,9.193486,-3.320905
batch10/KL_200518_M436_043.mzML,1.1703895,1.2676734,-0.20924726,-1.9112185,4.2666225,15.753848
F088_210524_M462_241.mzML,-0.6967636,-0.40273786,-0.56302035,0.8719404,15.341697,13.948125
F088_210524_M462_037.mzML,-1.9374394,-1.8838335,-0.3848232,0.85574067,15.273261,14.05338
F088_210524_M462_077.mzML,-0.27250987,1.0728908,-0.39816406,-2.1467297,-5.304915,3.036199
YW_200318_M431_281.mzML,0.891145,-1.9993229,1.8568337,-0.044557948,4.7574496,18.524343
batch6/KL_200513_M436_001.mzML,0.96298623,-0.044426955,-0.80031466,-1.7658275,-3.7199023,8.752428
YW_200318_M431_017.mzML,0.73485637,-3.0478158,2.196891,0.16248755,4.6822233,18.549463
F088_210524_M462_033.mzML,0.507386,2.3853197,-0.46082383,-1.664165,9.828977,-0.10529855
F088_210524_M462_061.mzML,-0.3986749,0.9441335,-0.54914665,-2.0011659,-5.3096285,3.0464382
F088_210524_M462_025.mzML,-0.3708712,0.909051,-0.49077207,-1.9280839,-5.3096905,3.0463662
batch10/KL_200518_M436_119.mzML,3.2844782,1.04126,-1.2237238,-1.1074734,-4.233196,7.4262195
F088_210524_M462_239.mzML,-0.35326022,0.67008686,-0.6032171,-1.8811986,-5.311541,3.0480113
F088_210524_M462_075.mzML,-0.21222241,1.2555662,-0.36980575,-2.0724306,-5.303674,3.0278058
YW_200304_M431_013.mzML,1.6604193,0.36713737,2.7420998,-0.63067704,4.608031,17.329975
batch1/KL_200505_M436_023.mzML,0.6906906,-0.09114052,-1.2534134,-1.6779972,-4.1346498,9.25113
F088_210524_M462_127.mzML,-0.32550055,0.09116617,-0.12899603,0.3483441,7.853357,6.20754
YW_200302_M431_139.mzML,2.8359761,0.092550084,2.103777,-1.0999849,4.7054453,17.090511
batch10/KL_200518_M436_135.mzML,2.5844166,0.9764113,-1.0995643,-1.2549906,-4.2189264,7.432682
batch10/KL_200518_M436_207.mzML,3.4891539,1.0773647,-1.3017474,-1.2270565,-4.233701,7.421493
B8_WU350-314_d0_polar_pos.mzML,-0.8957721,0.46098244,-1.0315572,1.2513342,9.163581,-3.4043183
YW_200304_M431_009.mzML,2.1636639,0.36821425,2.4325242,-0.9266355,4.5740848,17.321693
F088_210524_M462_131.mzML,-0.22003998,1.0353508,-0.36533615,-2.1498132,-5.30098,3.0319111
F088_210524_M462_271.mzML,-0.17551766,1.3032713,-0.2773798,-2.1012113,-5.304978,3.0275128
VT_181121_M338_103.mzML,2.1498866,1.7122502,-1.0896041,0.46842563,4.108513,0.45124647
batch10/KL_200518_M436_091.mzML,1.2677664,1.3542064,-0.08711578,-1.9339447,4.2685947,15.756229
B8_WU350-330_d3_polar_pos.mzML,-1.6715552,0.14225584,-1.6487311,1.572072,9.14789,-4.0553174
F088_210524_M462_063.mzML,-0.25460505,0.07982917,-0.1341047,0.28342775,7.906117,6.30021
B8_WU350-347_d0_polar_pos.mzML,-0.10720513,1.0086858,1.0690875,-0.7954036,10.936266,-8.325686
F088_210524_M462_109.mzML,0.61699516,2.5849571,-0.25335094,-1.4646286,9.844357,-0.026619628
F088_210524_M462_051.mzML,-0.56510866,-0.25661618,-0.50652456,0.6681431,15.336969,13.93957
batch10/KL_200518_M436_159.mzML,2.2065115,0.87835413,-1.0056279,-1.2181972,-4.2235312,7.4324503
YW_200304_M431_017.mzML,1.671757,0.39386052,2.7934105,-0.80721116,4.5895615,17.34633
B8_WU350-320_d0_polar_pos.mzML,-0.75677407,0.50435853,-0.89539766,1.1129043,9.191328,-3.326091
F088_210524_M462_099.mzML,0.51314616,2.442742,-0.26002443,-1.4783154,9.827174,-0.06413565
YW_200320_M431_001.mzML,1.4331458,-1.1755425,1.9895116,-0.49838078,5.412924,16.408064
batch10/KL_200518_M436_239.mzML,4.0033727,1.1328535,-1.3935792,-1.1117404,-4.218099,7.4227805
batch21/VT_200909_M436_253.mzML,5.6498594,4.2378645,2.4859128,-1.9376738,4.4570594,16.035345
YW_200304_M431_277.mzML,1.8225497,-0.40438813,1.8790529,-0.49908563,4.6226645,17.751009
YW_200318_M431_149.mzML,0.87954,-2.4252052,2.0572917,0.10529104,4.7031507,18.525694
F088_210524_M462_043.mzML,0.4649921,2.418279,-0.47805193,-1.8124425,9.813174,-0.15387906
batch10/KL_200518_M436_055.mzML,1.6693035,0.8208772,-0.9123613,-1.3119112,-4.179064,7.545449
B8_WU350-343_d0_polar_pos.mzML,-1.6814141,0.14085834,-1.7707139,1.7134789,9.152229,-4.061543
YW_200227_M431_011.mzML,2.0462565,-0.6106276,1.6608093,-0.5228925,4.651137,17.67605
B8_WU350-203_d84_polar_pos.mzML,-1.7136419,0.1523354,-1.6999904,1.6908242,9.180615,-4.0921745
B8_WU350-322_d0_polar_pos.mzML,-0.13462955,0.28229696,-0.09363001,0.114532754,6.6597257,4.6463265
B8_WU350-331_d0_polar_pos.mzML,-1.3889722,0.27556828,-1.3686092,1.4620376,9.097726,-3.8883703
F088_210524_M462_083.mzML,-0.012597887,1.2034361,-0.41873997,-1.9350271,-5.301883,3.0290158
B8_WU350-349_d0_polar_pos.mzML,-0.7525348,0.4407046,-0.87068564,1.0485253,9.18797,-3.3308496
B8_WU350-341_d0_polar_pos.mzML,-0.10810861,0.632937,0.70642495,-0.3898286,10.733358,-8.233121
B8_WU350-312_d14_polar_pos.mzML,-0.9377426,0.45749447,-1.0276086,1.2026699,9.144285,-3.4168954
